Rank,fib_level,htf_swing_window,etf_swing_window,total_trades,win_rate,total_pnl,max_drawdown,sharpe_ratio,ann_std,dd_episodes,final_balance
1,0.786,7,5,477,41.72%,824172.6,-37.44%,10.8,85.95%,25,834172.6
2,0.786,10,5,492,39.43%,559683.49,-37.44%,10.21,82.99%,23,569683.49
3,0.786,5,5,516,36.43%,318291.04,-27.22%,8.68,84.85%,16,328291.04
4,0.786,7,10,245,41.63%,85552.28,-67.04%,7.58,62.01%,12,95552.28
5,0.786,3,5,522,33.52%,159699.15,-27.22%,7.37,81.33%,39,169699.15
6,0.786,7,15,155,41.94%,33569.61,-13.70%,7.11,42.56%,2,43569.61
7,0.786,10,15,143,43.36%,32802.71,-9.71%,7.0,42.72%,0,42802.71
8,0.786,10,10,239,39.75%,63488.53,-67.04%,6.64,62.89%,8,73488.53
9,0.786,7,20,127,41.73%,23192.33,-12.82%,6.52,37.74%,1,33192.33
10,0.786,10,20,120,42.50%,22473.67,-12.25%,6.51,37.10%,9,32473.67
11,0.786,5,10,261,35.25%,41298.39,-65.77%,5.63,61.23%,4,51298.39
12,0.786,5,15,156,35.26%,17196.84,-12.14%,5.27,39.29%,10,27196.84
13,0.786,5,20,130,36.15%,14420.98,-11.13%,5.08,36.26%,3,24420.98
14,0.786,3,10,274,33.21%,32986.42,-65.77%,5.06,61.01%,35,42986.42
15,0.618,7,5,461,47.29%,19125.42,-27.33%,4.66,48.19%,14,29125.42
16,0.618,7,15,168,50.60%,7374.98,-9.20%,4.54,24.88%,0,17374.98
17,0.618,7,20,132,53.03%,6630.7,-9.74%,4.49,23.10%,0,16630.7
18,0.618,10,15,166,50.00%,6826.14,-11.29%,4.24,25.12%,13,16826.14
19,0.618,10,5,466,45.92%,14952.25,-27.33%,4.04,47.91%,20,24952.25
20,0.618,10,20,133,51.13%,5627.03,-11.29%,3.84,23.82%,10,15627.03
21,0.786,3,15,167,30.54%,10248.16,-20.55%,3.66,40.56%,25,20248.16
22,0.618,7,10,235,47.23%,7294.82,-54.99%,3.54,32.23%,1,17294.82
23,0.786,3,20,134,29.85%,6986.1,-18.13%,3.08,36.29%,38,16986.1
24,0.618,10,10,238,45.80%,5927.68,-54.99%,2.94,33.38%,1,15927.68
25,0.618,5,5,482,43.78%,9398.32,-22.98%,2.88,50.00%,49,19398.32
26,0.618,5,15,169,45.56%,3704.62,-12.63%,2.62,25.13%,11,13704.62
27,0.618,5,10,238,44.54%,4601.54,-54.43%,2.41,33.50%,5,14601.54
28,0.618,3,15,172,44.77%,3297.58,-12.72%,2.24,26.86%,20,13297.58
29,0.5,10,15,178,55.62%,2316.32,-12.81%,2.11,20.65%,18,12316.32
