Rank,fib_level,htf_swing_window,etf_swing_window,total_trades,win_rate,total_pnl,max_drawdown,sharpe_ratio,ann_std,dd_episodes,final_balance,composite_score
1,0.786,12,15,143,43.36%,32792.48,-9.71%,7.0,42.72%,0,42792.48,7.0
2,0.786,10,15,143,43.36%,32792.48,-9.71%,7.0,42.72%,0,42792.48,7.0
3,0.786,15,15,118,40.68%,18844.77,-9.71%,5.45,40.13%,0,28844.77,5.45
4,0.618,7,15,168,50.60%,7341.5,-9.20%,4.53,24.87%,0,17341.5,4.53
5,0.75,12,15,146,44.52%,21088.52,-10.03%,6.65,34.88%,1,31088.52,3.325
6,0.75,10,15,146,44.52%,21088.52,-10.03%,6.65,34.88%,1,31088.52,3.325
7,0.7,7,15,149,44.30%,10353.9,-12.74%,5.24,27.70%,1,20353.9,2.62
8,0.75,15,15,121,41.32%,12064.28,-10.03%,5.11,31.81%,1,22064.28,2.555
9,0.786,7,15,155,41.94%,33559.2,-13.70%,7.11,42.56%,2,43559.2,2.37
10,0.618,7,10,235,47.23%,7275.96,-54.99%,3.53,32.23%,1,17275.96,1.765
11,0.7,12,15,146,44.52%,10293.65,-10.69%,5.15,28.07%,2,20293.65,1.7166666666666668
12,0.7,10,15,146,44.52%,10293.65,-10.69%,5.15,28.07%,2,20293.65,1.7166666666666668
13,0.65,12,10,229,43.67%,7375.17,-58.11%,3.13,37.25%,1,17375.17,1.565
14,0.65,10,10,229,43.67%,7375.17,-58.11%,3.13,37.25%,1,17375.17,1.565
15,0.618,12,10,238,45.80%,5910.3,-54.99%,2.93,33.38%,1,15910.3,1.465
16,0.618,10,10,238,45.80%,5910.3,-54.99%,2.93,33.38%,1,15910.3,1.465
17,0.75,12,10,236,42.80%,41603.28,-62.72%,6.72,50.59%,4,51603.28,1.3439999999999999
18,0.75,10,10,236,42.80%,41603.28,-62.72%,6.72,50.59%,4,51603.28,1.3439999999999999
19,0.7,15,15,119,41.18%,5671.09,-10.69%,3.61,25.61%,2,15671.09,1.2033333333333334
20,0.786,5,10,261,35.25%,41263.96,-65.77%,5.62,61.23%,4,51263.96,1.124
21,0.7,10,10,239,44.35%,20603.58,-58.97%,5.6,41.28%,4,30603.58,1.1199999999999999
22,0.7,12,10,239,44.35%,20603.58,-58.97%,5.6,41.28%,4,30603.58,1.1199999999999999
23,0.75,15,10,200,39.50%,21000.28,-62.72%,5.23,44.95%,4,31000.28,1.046
24,0.7,7,10,237,45.99%,24486.38,-58.97%,6.2,41.18%,5,34486.38,1.0333333333333334
25,0.75,10,5,497,41.05%,212622.91,-33.58%,9.47,68.15%,10,222622.91,0.860909090909091
26,0.75,12,5,497,41.05%,212622.91,-33.58%,9.47,68.15%,10,222622.91,0.860909090909091
27,0.65,15,10,190,40.00%,2989.88,-58.11%,1.71,33.53%,1,12989.88,0.855
28,0.65,10,7,361,45.98%,20562.65,-15.51%,5.04,46.24%,5,30562.65,0.84
29,0.65,12,7,361,45.98%,20562.65,-15.51%,5.04,46.24%,5,30562.65,0.84
30,0.618,7,7,339,49.56%,16888.99,-13.12%,5.01,40.96%,5,26888.99,0.835
31,0.618,12,7,349,49.57%,17707.63,-13.12%,4.99,42.47%,5,27707.63,0.8316666666666667
32,0.618,10,7,349,49.57%,17707.63,-13.12%,4.99,42.47%,5,27707.63,0.8316666666666667
33,0.7,12,7,362,44.20%,43388.12,-21.66%,6.53,53.36%,7,53388.12,0.81625
34,0.7,10,7,362,44.20%,43388.12,-21.66%,6.53,53.36%,7,53388.12,0.81625
35,0.7,15,10,198,40.91%,10192.08,-58.97%,3.96,36.98%,4,20192.08,0.792
36,0.65,7,7,351,46.72%,21924.67,-15.51%,5.39,44.77%,6,31924.67,0.7699999999999999
37,0.786,10,10,239,39.75%,63439.21,-67.04%,6.64,62.90%,8,73439.21,0.7377777777777778
38,0.786,12,10,239,39.75%,63439.21,-67.04%,6.64,62.90%,8,73439.21,0.7377777777777778
39,0.7,5,10,250,38.80%,10338.65,-58.08%,3.64,41.13%,4,20338.65,0.728
40,0.75,15,5,415,38.80%,82426.52,-33.58%,7.71,59.96%,10,92426.52,0.7009090909090909
41,0.75,7,7,365,44.66%,155363.99,-18.06%,8.81,66.24%,12,165363.99,0.6776923076923077
42,0.75,7,5,476,43.07%,276043.98,-33.58%,10.02,69.58%,14,286043.98,0.6679999999999999
43,0.618,15,7,289,47.75%,10313.13,-13.12%,3.89,38.07%,5,20313.13,0.6483333333333333
44,0.7,15,7,308,41.88%,22908.22,-21.66%,5.14,48.43%,7,32908.22,0.6425
45,0.75,10,7,371,43.40%,133829.53,-18.06%,8.29,67.12%,12,143829.53,0.6376923076923077
46,0.75,12,7,371,43.40%,133829.53,-18.06%,8.29,67.12%,12,143829.53,0.6376923076923077
47,0.618,15,10,195,41.54%,1803.11,-54.99%,1.27,29.25%,1,11803.11,0.635
48,0.7,7,7,352,45.17%,47109.82,-21.66%,6.88,52.56%,10,57109.82,0.6254545454545455
49,0.65,15,7,310,43.55%,11122.77,-15.51%,3.75,42.00%,5,21122.77,0.625
50,0.75,7,10,242,43.80%,49224.12,-62.72%,7.23,50.89%,11,59224.12,0.6025
51,0.786,7,10,245,41.63%,85488.15,-67.04%,7.58,62.01%,12,95488.15,0.583076923076923
52,0.786,15,10,200,37.00%,31259.56,-67.04%,5.22,57.21%,8,41259.56,0.58
53,0.75,15,7,311,41.48%,64006.76,-18.06%,6.94,60.16%,12,74006.76,0.5338461538461539
54,0.786,5,5,516,36.43%,319438.34,-27.22%,8.69,84.82%,16,329438.34,0.5111764705882352
55,0.7,5,15,155,37.42%,4702.92,-14.16%,3.03,26.43%,5,14702.92,0.505
56,0.618,5,3,732,43.44%,15872.92,-55.74%,3.41,60.90%,6,25872.92,0.48714285714285716
57,0.786,7,7,364,43.41%,380639.95,-20.59%,9.74,78.74%,19,390639.95,0.487
58,0.75,7,15,156,43.59%,21663.44,-12.83%,6.7,35.20%,13,31663.44,0.4785714285714286
59,0.786,5,15,156,35.26%,17190.35,-12.14%,5.26,39.29%,10,27190.35,0.47818181818181815
60,0.65,10,15,132,47.73%,6244.37,-11.50%,4.08,24.34%,8,16244.37,0.45333333333333337
61,0.65,12,15,132,47.73%,6244.37,-11.50%,4.08,24.34%,8,16244.37,0.45333333333333337
62,0.786,5,3,743,37.42%,2135333.68,-68.54%,10.69,106.71%,24,2145333.68,0.4276
63,0.786,12,5,492,39.43%,557757.7,-37.44%,10.2,82.99%,23,567757.7,0.425
64,0.786,10,5,492,39.43%,557757.7,-37.44%,10.2,82.99%,23,567757.7,0.425
65,0.65,15,15,106,45.28%,3767.13,-11.04%,2.96,22.31%,6,13767.13,0.4228571428571429
66,0.786,7,5,477,41.72%,821352.71,-37.44%,10.79,85.95%,25,831352.71,0.415
67,0.618,5,10,238,44.54%,4632.99,-54.43%,2.42,33.49%,5,14632.99,0.4033333333333333
68,0.786,12,7,367,42.23%,320059.41,-20.59%,9.16,80.15%,22,330059.41,0.3982608695652174
69,0.786,10,7,367,42.23%,320059.41,-20.59%,9.16,80.15%,22,330059.41,0.3982608695652174
