Rank,fib_level,htf_swing_window,etf_swing_window,total_trades,win_rate,total_pnl,max_drawdown,sharpe_ratio,ann_std,trades_per_dd,dd_episodes,final_balance
1,0.65,5,15,769,41.48%,29221.72,-21.71%,2.39,29.87%,6.745614035087719,114,39221.72
2,0.75,10,15,807,34.32%,169591.08,-29.43%,3.62,41.53%,8.31958762886598,97,179591.08
3,0.786,12,15,825,31.64%,427056.42,-26.97%,4.16,47.21%,8.418367346938776,98,437056.42
4,0.75,7,15,800,35.25%,224881.36,-29.60%,3.99,40.94%,8.421052631578947,95,234881.36
5,0.618,10,15,766,41.91%,10128.48,-30.81%,1.33,28.97%,8.606741573033707,89,20128.48
6,0.75,12,15,811,33.54%,131519.21,-33.89%,3.36,41.14%,8.627659574468085,94,141519.21
7,0.786,12,10,1250,32.64%,5268155.11,-67.04%,5.32,61.38%,8.741258741258742,143,5278155.11
8,0.75,5,15,798,35.71%,259888.43,-21.33%,4.26,39.77%,9.731707317073171,82,269888.43
9,0.618,5,15,764,43.98%,19957.13,-20.04%,2.04,28.23%,9.794871794871796,78,29957.13
10,0.786,7,15,814,33.78%,921045.55,-28.25%,5.02,46.46%,9.926829268292684,82,931045.55
11,0.618,5,7,1633,42.13%,37126.25,-28.93%,2.0,42.38%,10.01840490797546,163,47126.25
12,0.786,10,10,1234,33.47%,7796731.43,-67.04%,5.67,60.87%,10.114754098360656,122,7806731.43
13,0.7,5,10,1179,36.73%,111821.32,-58.08%,3.21,40.71%,10.252173913043478,115,121821.32
14,0.7,5,15,780,37.69%,58159.58,-23.67%,3.02,32.96%,10.263157894736842,76,68159.58
15,0.65,5,10,1183,40.74%,52515.93,-56.79%,2.54,38.16%,10.37719298245614,114,62515.93
16,0.65,7,15,771,40.73%,23343.84,-31.55%,2.1,30.34%,10.41891891891892,74,33343.84
17,0.786,10,15,824,32.65%,628473.14,-28.25%,4.54,47.46%,10.564102564102564,78,638473.14
18,0.618,10,10,1118,41.23%,12406.75,-54.99%,1.28,35.65%,10.854368932038835,103,22406.75
19,0.618,15,15,753,42.50%,12346.98,-30.27%,1.55,27.85%,10.91304347826087,69,22346.98
20,0.786,15,10,1184,34.38%,9774288.83,-67.04%,6.04,58.81%,10.962962962962964,108,9784288.83
21,0.786,5,15,815,34.23%,1098475.98,-23.06%,5.3,45.56%,11.013513513513514,74,1108475.98
22,0.65,5,7,1636,39.85%,72842.68,-22.97%,2.52,45.06%,11.129251700680273,147,82842.68
23,0.786,7,10,1207,33.72%,7754951.37,-67.04%,5.83,59.00%,11.280373831775702,107,7764951.37
24,0.65,12,15,753,38.65%,10767.65,-38.01%,1.33,30.32%,11.584615384615384,65,20767.65
25,0.618,7,15,768,43.36%,16983.39,-31.14%,1.86,28.21%,11.636363636363637,66,26983.39
26,0.786,12,7,1749,33.96%,190301779.88,-27.54%,6.81,75.41%,11.817567567567568,148,190311779.88
27,0.7,12,7,1628,37.41%,446061.32,-27.25%,3.86,51.95%,11.970588235294118,136,456061.32
28,0.7,15,15,743,37.15%,44469.08,-34.27%,2.62,33.92%,11.983870967741936,62,54469.08
29,0.786,5,7,1764,34.07%,220313637.91,-23.00%,7.12,72.83%,12.082191780821917,146,220323637.91
30,0.786,10,7,1733,34.56%,281473382.37,-22.47%,7.0,76.14%,12.118881118881118,143,281483382.37
31,0.618,5,5,2244,42.42%,89063.61,-22.98%,2.51,49.61%,12.195652173913043,184,99063.61
32,0.7,7,15,781,37.26%,51096.5,-29.89%,2.76,34.19%,12.203125,64,61096.5
33,0.65,15,15,739,40.05%,17559.8,-33.99%,1.82,29.67%,12.316666666666666,60,27559.8
34,0.786,15,15,790,34.30%,975385.34,-26.97%,5.03,47.03%,12.34375,64,985385.34
35,0.65,10,15,758,39.45%,14797.83,-28.26%,1.59,30.90%,12.426229508196721,61,24797.83
36,0.618,5,10,1163,43.25%,32444.44,-54.43%,2.17,35.38%,12.505376344086022,93,42444.44
37,0.618,12,10,1104,40.31%,6987.63,-54.99%,0.91,35.12%,12.545454545454545,88,16987.63
38,0.7,12,10,1153,36.34%,89508.75,-58.97%,2.92,41.47%,12.811111111111112,90,99508.75
39,0.7,10,15,775,36.52%,39790.87,-29.89%,2.45,34.56%,13.135593220338983,59,49790.87
40,0.65,12,10,1122,39.04%,23004.02,-58.11%,1.75,37.35%,13.2,85,33004.02
41,0.65,5,5,2280,40.66%,310111.06,-24.99%,3.42,53.80%,13.333333333333334,171,320111.06
42,0.786,15,7,1685,35.25%,362077236.88,-27.54%,7.34,74.16%,13.811475409836065,122,362087236.88
43,0.7,12,15,764,35.21%,24979.66,-37.92%,1.98,33.95%,13.89090909090909,55,34979.66
44,0.7,5,5,2211,37.77%,2289085.23,-26.37%,4.62,61.80%,13.90566037735849,159,2299085.23
45,0.75,15,10,1193,35.62%,1275257.92,-62.72%,4.98,50.33%,14.035294117647059,85,1285257.92
46,0.75,12,7,1715,36.15%,15378860.84,-23.58%,5.94,64.16%,14.173553719008265,121,15388860.84
47,0.7,5,7,1653,36.96%,366326.7,-24.98%,3.74,51.01%,14.25,116,376326.7
48,0.75,5,7,1773,36.04%,18068906.24,-24.72%,6.08,63.99%,14.414634146341463,123,18078906.24
49,0.7,7,7,1605,38.01%,584012.64,-27.40%,4.15,51.44%,14.724770642201834,109,594012.64
50,0.65,7,10,1164,39.86%,35342.84,-58.11%,2.13,38.00%,14.734177215189874,79,45342.84
51,0.7,15,7,1583,37.84%,504778.28,-27.25%,4.04,50.92%,14.794392523364486,107,514778.28
52,0.786,5,5,2368,34.97%,17928238825.82,-27.22%,8.42,89.23%,14.8,160,17928248825.82
53,0.75,5,10,1240,35.81%,1690916.54,-62.10%,5.05,52.60%,14.939759036144578,83,1700916.54
54,0.7,15,5,2110,38.34%,2691296.55,-41.73%,4.75,61.72%,15.401459854014599,137,2701296.55
55,0.786,7,7,1679,34.96%,278468559.78,-22.47%,7.26,73.10%,15.403669724770642,109,278478559.78
56,0.7,10,7,1634,38.00%,628877.39,-22.02%,4.11,52.86%,15.415094339622641,106,638877.39
57,0.618,12,15,764,41.10%,7107.96,-38.16%,1.06,28.57%,15.591836734693878,49,17107.96
58,0.75,15,15,782,34.91%,187059.23,-31.46%,3.81,40.49%,15.64,50,197059.23
59,0.65,7,7,1585,40.19%,81704.19,-28.84%,2.68,43.97%,15.693069306930694,101,91704.19
60,0.618,12,5,2143,41.34%,39392.12,-41.84%,1.84,48.92%,15.757352941176471,136,49392.12
61,0.786,7,5,2260,35.62%,18853347352.14,-37.44%,8.47,88.93%,15.804195804195805,143,18853357352.14
62,0.786,12,5,2330,34.33%,7408009513.45,-46.02%,7.89,89.56%,15.850340136054422,147,7408019513.45
63,0.7,15,10,1112,36.78%,97894.43,-58.97%,3.1,40.14%,15.885714285714286,70,107894.43
64,0.65,10,10,1134,39.95%,34826.38,-58.11%,2.12,37.98%,15.971830985915492,71,44826.38
65,0.7,12,5,2175,37.33%,1542407.35,-41.73%,4.29,62.05%,15.992647058823529,136,1552407.35
66,0.7,15,3,3375,38.28%,70822140.39,-50.00%,6.09,76.34%,15.995260663507109,211,70832140.39
67,0.786,10,5,2327,35.02%,15249192950.37,-37.44%,8.24,90.24%,16.048275862068966,145,15249202950.37
68,0.65,15,5,2171,40.30%,211519.25,-38.87%,3.08,53.83%,16.081481481481482,135,221519.25
69,0.75,10,10,1212,35.97%,1631652.82,-62.72%,5.03,52.47%,16.16,75,1641652.82
70,0.75,15,7,1704,36.62%,20128515.43,-23.58%,6.21,63.45%,16.228571428571428,105,20138515.43
71,0.618,10,5,2146,42.36%,77349.21,-27.68%,2.42,48.75%,16.257575757575758,132,87349.21
72,0.786,10,3,3509,36.28%,152103659076257.8,-57.98%,10.5,117.70%,16.32093023255814,215,152103659086257.78
73,0.65,10,5,2178,40.68%,272343.04,-28.68%,3.32,53.66%,16.37593984962406,133,282343.04
74,0.786,12,3,3540,35.56%,58399633869947.4,-57.98%,10.02,118.53%,16.38888888888889,216,58399633879947.38
75,0.786,15,5,2270,35.51%,17855435317.49,-46.02%,8.34,90.12%,16.44927536231884,138,17855445317.49
76,0.786,5,10,1238,33.68%,9008414.24,-65.77%,5.94,59.22%,16.506666666666668,75,9018414.24
77,0.618,7,10,1150,41.74%,16672.43,-54.99%,1.52,35.69%,16.666666666666668,69,26672.43
78,0.7,7,10,1161,36.95%,117868.06,-58.97%,3.22,41.43%,16.82608695652174,69,127868.06
79,0.65,12,3,3384,38.83%,282193.44,-47.10%,2.83,66.06%,16.92,200,292193.44
80,0.786,7,3,3463,37.05%,383019704922652.94,-57.98%,11.02,116.23%,17.143564356435643,202,383019704932653.06
81,0.75,10,7,1720,36.63%,21737169.85,-20.27%,6.15,64.76%,17.2,100,21747169.85
82,0.65,15,3,3366,39.63%,608532.99,-47.10%,3.42,65.37%,17.26153846153846,195,618532.99
83,0.75,12,10,1207,34.80%,905952.31,-62.72%,4.54,51.73%,17.492753623188406,69,915952.31
84,0.7,10,10,1176,37.41%,148303.74,-58.97%,3.41,42.28%,17.55223880597015,67,158303.74
85,0.618,7,7,1581,42.25%,37395.37,-29.80%,2.05,41.17%,17.566666666666666,90,47395.37
86,0.7,12,3,3391,37.69%,37925561.16,-50.00%,5.62,77.41%,17.569948186528496,193,37935561.16
87,0.7,10,5,2172,38.26%,2991626.87,-31.50%,4.79,62.45%,17.80327868852459,122,3001626.87
88,0.65,10,7,1568,39.99%,71851.74,-27.23%,2.52,44.66%,17.818181818181817,88,81851.74
89,0.65,12,5,2177,39.55%,130034.33,-38.87%,2.68,53.46%,17.84426229508197,122,140034.33
90,0.7,7,5,2149,38.58%,3529837.91,-33.10%,5.0,61.29%,17.908333333333335,120,3539837.91
91,0.786,5,3,3547,36.79%,460862054447550.25,-68.54%,11.24,114.68%,17.914141414141415,198,460862054457550.0
92,0.75,15,5,2278,37.27%,466741718.27,-42.42%,7.44,74.99%,18.07936507936508,126,466751718.27
93,0.618,12,7,1561,41.45%,23496.96,-38.96%,1.62,41.67%,18.151162790697676,86,33496.96
94,0.75,7,10,1217,35.99%,1679901.34,-62.72%,5.06,52.45%,18.16417910447761,67,1689901.34
95,0.786,15,3,3532,36.52%,264399012958394.25,-57.98%,10.76,117.43%,18.49214659685864,191,264399012968394.16
96,0.7,5,3,3476,38.55%,127118858.11,-62.11%,6.49,76.07%,18.78918918918919,185,127128858.11
97,0.75,7,3,3476,37.57%,202166606961.26,-54.83%,9.05,97.27%,19.204419889502763,181,202166616961.26
98,0.75,5,3,3568,37.44%,259246499790.6,-64.85%,9.24,96.52%,19.286486486486485,185,259246509790.6
99,0.75,12,3,3495,36.74%,69876865684.7,-54.83%,8.41,98.41%,19.416666666666668,180,69876875684.7
100,0.75,7,7,1716,37.06%,28702707.63,-20.27%,6.4,64.31%,19.5,88,28712707.63
101,0.7,10,3,3369,38.11%,57714979.66,-50.00%,5.88,77.42%,20.17365269461078,167,57724979.66
102,0.65,10,3,3377,39.38%,484225.13,-47.10%,3.23,65.89%,20.221556886227546,167,494225.13
103,0.618,15,10,1095,40.73%,9087.56,-54.99%,1.1,33.92%,20.27777777777778,54,19087.56
104,0.65,7,5,2232,40.82%,324183.48,-30.94%,3.46,53.82%,20.29090909090909,110,334183.48
105,0.75,7,5,2292,37.43%,579147814.69,-33.58%,7.52,75.65%,20.464285714285715,112,579157814.69
106,0.75,15,3,3521,37.63%,272980582864.92,-54.83%,9.24,96.85%,20.5906432748538,171,272980592864.92
107,0.618,7,5,2189,42.26%,76084.69,-30.01%,2.39,48.98%,20.847619047619048,105,86084.69
108,0.75,5,5,2379,36.65%,417025565.14,-23.77%,7.28,75.92%,21.053097345132745,113,417035565.14
