Rank,fib_level,htf_swing_window,etf_swing_window,total_trades,win_rate,total_pnl,total_return,max_drawdown,sharpe_ratio,ann_std,trades_per_dd,dd_episodes,prop_firm_passes,prop_firm_fails,final_balance
1,0.786,7,3,3468,37.00%,252841.18,2528.41%,-11.36%,6.53,25.02%,1156.0,3,187,40,262841.18
2,0.786,5,3,3548,36.84%,255947.66,2559.48%,-10.06%,7.18,22.78%,1774.0,2,185,44,265947.66
3,0.786,15,3,3490,36.50%,246435.57,2464.36%,-22.82%,6.09,26.70%,218.125,16,176,37,256435.57
4,0.786,10,3,3514,36.23%,243568.28,2435.68%,-13.27%,6.71,24.08%,1171.3333333333333,3,174,31,253568.28
5,0.786,12,3,3545,35.51%,233926.23,2339.26%,-22.35%,6.15,26.01%,221.5625,16,171,41,243926.23
6,0.75,5,3,3568,37.47%,178000.0,1780.00%,-11.62%,6.4,22.87%,446.0,8,134,39,188000.0
7,0.75,15,3,3482,37.62%,175892.85,1758.93%,-26.04%,5.54,26.51%,497.42857142857144,7,130,35,185892.85
8,0.75,7,3,3479,37.54%,174592.85,1745.93%,-13.29%,5.7,25.66%,579.8333333333334,6,130,35,184592.85
9,0.75,12,3,3498,36.71%,163892.85,1638.93%,-25.69%,5.4,26.60%,318.0,11,126,42,173892.85
10,0.75,10,3,3490,37.02%,167892.85,1678.93%,-13.70%,5.81,24.84%,1163.3333333333333,3,123,31,177892.85
11,0.786,7,5,2261,35.60%,150068.22,1500.68%,-12.94%,5.61,24.78%,376.8333333333333,6,112,33,160068.22
12,0.786,10,5,2328,35.01%,148041.12,1480.41%,-14.24%,5.6,24.70%,582.0,4,111,32,158041.12
13,0.786,15,5,2240,35.58%,148429.91,1484.30%,-28.40%,5.45,25.47%,224.0,10,110,34,158429.91
14,0.786,12,5,2331,34.32%,140731.78,1407.32%,-30.42%,5.09,26.82%,86.33333333333333,27,109,38,150731.78
15,0.786,5,5,2369,35.04%,150950.47,1509.50%,-11.99%,6.06,22.91%,1184.5,2,109,27,160950.47
16,0.75,10,5,2291,37.06%,110500.0,1105.00%,-15.92%,5.04,24.82%,163.64285714285714,14,87,28,120500.0
17,0.75,7,5,2293,37.42%,113900.0,1139.00%,-14.44%,5.09,24.87%,91.72,25,86,25,123900.0
18,0.7,5,3,3477,38.60%,99633.33,996.33%,-14.64%,5.39,22.22%,231.8,15,84,35,109633.33
19,0.75,5,5,2379,36.70%,111300.0,1113.00%,-10.73%,5.45,22.92%,396.5,6,84,25,121300.0
20,0.786,15,7,1665,35.32%,108266.36,1082.66%,-11.53%,5.29,23.40%,416.25,4,83,21,118266.36
21,0.75,15,5,2249,37.35%,111100.0,1111.00%,-29.65%,5.06,24.78%,124.94444444444444,18,82,23,121100.0
22,0.75,12,5,2276,36.38%,103600.0,1036.00%,-31.76%,4.54,27.06%,78.48275862068965,29,81,28,113600.0
23,0.7,7,3,3394,38.77%,99344.04,993.44%,-16.97%,4.91,24.51%,242.42857142857142,14,81,29,109344.04
24,0.786,5,7,1765,34.16%,105275.7,1052.76%,-10.66%,5.66,21.59%,588.3333333333334,3,78,19,115275.7
25,0.786,7,7,1681,34.92%,106199.07,1061.99%,-11.93%,5.18,23.74%,560.3333333333334,3,77,15,116199.07
26,0.786,10,7,1735,34.52%,106406.54,1064.07%,-14.22%,5.15,23.93%,578.3333333333334,3,77,14,116406.54
27,0.786,12,7,1751,33.92%,102470.09,1024.70%,-15.18%,4.53,26.97%,97.27777777777777,18,76,17,112470.09
28,0.7,10,3,3373,38.07%,90777.38,907.77%,-17.80%,4.58,25.41%,177.52631578947367,19,76,31,100777.38
29,0.7,15,3,3337,38.24%,91710.71,917.11%,-29.52%,4.35,26.98%,145.08695652173913,23,74,28,101710.71
30,0.7,12,3,3395,37.64%,86577.38,865.77%,-30.03%,4.09,28.12%,89.34210526315789,38,71,29,96577.38
31,0.75,15,7,1684,36.70%,78800.0,788.00%,-13.25%,4.2,26.28%,140.33333333333334,12,61,18,88800.0
32,0.75,5,7,1773,36.10%,78700.0,787.00%,-10.40%,5.07,21.54%,443.25,4,61,20,88700.0
